Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Costa Rica,CRI,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,18110
Costa Rica,CRI,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,17860
Costa Rica,CRI,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,17760
Costa Rica,CRI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,17825
Costa Rica,CRI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,17810
Costa Rica,CRI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,17770
Costa Rica,CRI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,17915
Costa Rica,CRI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,17850
Costa Rica,CRI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,18010
Costa Rica,CRI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,18120
Costa Rica,CRI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,18190
Costa Rica,CRI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,18190
Costa Rica,CRI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,18160
Costa Rica,CRI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,17930
Costa Rica,CRI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,18000
Costa Rica,CRI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,18150
Costa Rica,CRI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,18050
Costa Rica,CRI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,18220
Costa Rica,CRI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,18290
Costa Rica,CRI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,18260
Costa Rica,CRI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,18330
Costa Rica,CRI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,18400
Costa Rica,CRI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,18880
Costa Rica,CRI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,19150
Costa Rica,CRI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,19530
Costa Rica,CRI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,19950
Costa Rica,CRI,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,20480
Costa Rica,CRI,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,20950
Costa Rica,CRI,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,21130
Costa Rica,CRI,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,21600
Costa Rica,CRI,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,22036.18
Costa Rica,CRI,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,21986
Costa Rica,CRI,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,23780
Costa Rica,CRI,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,24630
Costa Rica,CRI,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,25390
Costa Rica,CRI,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,26120
Costa Rica,CRI,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,26810
Costa Rica,CRI,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,27480
Costa Rica,CRI,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,26820
Costa Rica,CRI,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,26790
Costa Rica,CRI,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,25990
Costa Rica,CRI,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,25160
Costa Rica,CRI,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,24430
Costa Rica,CRI,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,23600
Costa Rica,CRI,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,22870
