Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Costa Rica,CRI,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.4680767724246
Costa Rica,CRI,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.9784567175872
Costa Rica,CRI,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.7826086956522
Costa Rica,CRI,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.9099099099099
Costa Rica,CRI,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.8805327066197
Costa Rica,CRI,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.8021934978457
Costa Rica,CRI,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.0861731296514
Costa Rica,CRI,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.9588719153937
Costa Rica,CRI,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2722287504896
Costa Rica,CRI,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.4876615746181
Costa Rica,CRI,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.6247551899726
Costa Rica,CRI,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.6247551899726
Costa Rica,CRI,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.5660007833921
Costa Rica,CRI,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.1155503329416
Costa Rica,CRI,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2526439482961
Costa Rica,CRI,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.5464159811986
Costa Rica,CRI,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.3505679592636
Costa Rica,CRI,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.6835095965531
Costa Rica,CRI,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.8206032119076
Costa Rica,CRI,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.7618488053271
Costa Rica,CRI,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.8989424206815
Costa Rica,CRI,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.036036036036
Costa Rica,CRI,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.9761065413239
Costa Rica,CRI,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.5048962005484
Costa Rica,CRI,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2491186839013
Costa Rica,CRI,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.0716803760282
Costa Rica,CRI,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1096748922836
Costa Rica,CRI,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.030160595378
Costa Rica,CRI,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.382687034861
Costa Rica,CRI,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.3031727379554
Costa Rica,CRI,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.1574226400313
Costa Rica,CRI,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.0591461026244
Costa Rica,CRI,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5726596161379
Costa Rica,CRI,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.2373678025852
Costa Rica,CRI,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.725812769291
Costa Rica,CRI,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.1555033294164
Costa Rica,CRI,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.5068546807677
Costa Rica,CRI,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.8190364277321
Costa Rica,CRI,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.5264394829612
Costa Rica,CRI,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.4676850763807
Costa Rica,CRI,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.9009009009009
Costa Rica,CRI,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.2753623188406
Costa Rica,CRI,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.8456717587152
Costa Rica,CRI,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.2201331766549
Costa Rica,CRI,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7904426165296
Costa Rica,CRI,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.1844888366628
Costa Rica,CRI,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.5589502546024
Costa Rica,CRI,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.1096748922836
